PHA Code,PHA Name,Faircloth Limit
NY005, New York City Housing Authority,177446
RQ005, PUERTO RICO PUBLIC HOUSING ADMINISTRATION,56936
IL002, Chicago Housing Authority,35572
PA002, Philadelphia Housing Authority,20259
MD002, Housing Authority Of Baltimore City,13516
GA006, Housing Authority of the City of ATLANTA Georgia,12885
LA001, Housing Authority of New Orleans,12552
MA002, Boston Housing Authority,11945
NJ002, Newark Housing Authority,11140
DC001, D.C Housing Authority,11133
OH003, Cuyahoga Metropolitan Housing Authority,10887
FL005, MIAMI DADE PUBLIC HOUSING AND COMMUNITY DEV,10706
CA004, Housing Authority of the City of Los Angeles,8757
PA001, Housing Authority of the City of Pittsburgh,8549
TX006, San Antonio Housing Authority,7814
MI001, Detroit Housing Commission,7665
OH004, CINCINNATI METROPOLITAN HOUSING AUTHORITY,7197
TN001, Memphis Housing Authority,7148
WA001,* Seattle Housing Authority,6711
MN002, PHA in and for the City of Minneapolis,6393
AL001, Housing Authority of the Birmingham District,6297
KY001, Louisville Metro Housing Authority,6257
MO001, St. Louis Housing Authority,6242
TX009," Housing Authority of the City of Dallas, Texa",6218
HI001, Hawaii Public Housing Authority,5406
OH007, Akron Metropolitan Housing Authority,4959
NY002, Buffalo Municipal Housing Authority,4608
OH005, GREAT DAYTON PREMIER MANAGEMENT,4442
OH001, Columbus Metropolitan Housing Authority,4432
VA007, Richmond Redevelopment & Housing Authority,4347
MN001, Public Housing Agency of the City of St Paul,4284
CA001,* Housing Authority of the City & County of SF,4282
VQ001, VIRGIN ISLANDS HOUSING AUTHORITY,4127
TX005, Houston Housing Authority,4109
CO001, Housing Authority of the City and County of Denver,4106
PA006, ALLEGHENY COUNTY HOUSING AUTHORITY,3975
AL002, MOBILE HOUSING BOARD,3857
WI002, Housing Authority of the City of Milwaukee,3793
TN004, Chattanooga Housing Authority,3708
NJ009, Housing Authority City of Jersey City,3671
VA006, Norfolk Redevelopment & Housing Authority,3443
WA002, HA OF KING COUNTY,3306
CA003,* Oakland Housing Authority,3304
OH006, Lucas Metropolitan Housing Authority,3047
OK002, Housing Authority of the City of Oklahoma City,3044
AL006, Housing Authority of the City of Montgomery,3036
CA002, Los Angeles County Development Authority,2993
NV018, Southern Nevada Regional Housing Authority,2989
FL001, Jacksonville Housing Authority,2900
GA001, Housing Authority of the City of Augusta,2776
CT004, Housing Authority of the City of New Haven,2735
MA012, Worcester Housing Authority,2729
CT003, Housing Authority of the City of Hartford,2728
NE001, Omaha Housing Authority,2714
CT001, Housing Authority of the City of Bridgeport,2640
RI001, Housing Authority Providence,2630
OK073, Housing Authority of the City of Tulsa,2623
OH018, STARK METROPOLITAN HOUSING AUTHORITY,2568
DE001, Wilmington Housing Authority,2548
FL003, TAMPA HOUSING AUTHORITY,2514
AZ001, City of Phoenix Housing Department,2501
IN011, Housing Authority of the City of Gary Indiana,2419
NY001, Syracuse Housing Authority,2414
NY041, Rochester Housing Authority,2406
SC002, HOUSING AUTHORITY OF THE CITY OF COLUMBIA,2402
IL001, The Housing Authority of City of East St. Louis,2336
MA006, Fall River Housing Authority,2188
KS001," Kansas City, KS Housing Authority",2170
NJ021, Paterson Housing Authority,2168
NC012, Housing Authority of the City of Winston0Salem,2141
CA005, City of Sacramento Housing Authority,2125
OH002, Youngstown Metropolitan Housing Authority,2118
NC002, Housing Authority of the City of Raleigh,2098
NJ014, Housing Authority and Urban Redevelopment Age,2043
PA018, WESTMORELAND COUNTY HSG AUTHORITY,1989
AZ004, Housing and Community Development Tucson,1926
MO002," Housing Authority of Kansas City, Missouri",1925
PA014, HOUSING AUTHORITY OF THE COUNTY OF BEAVER,1920
IL003, Peoria Housing Authority,1906
NY009, Albany Housing Authority,1902
NJ005, Trenton Housing Authority,1867
AL047, The Housing Authority of the City of Huntsville,1865
PA013, HOUSING AUTHORITY OF THE CITY OF ERIE,1858
MA035, Springfield Housing Authority,1809
IL022, Rockford Housing Authority,1800
OR002, Housing Authority of Portland,1783
NJ010, Housing Authority of the City of Camden,1777
VA003, Newport News Redevelopment & Housng Authority,1774
MA007, New Bedford Housing Authority,1750
PA007, Chester Housing Authority,1746
PA008, Harrisburg Housing Authority,1738
PA019, JOHNSTOWN HOUSING AUTHORITY,1725
